Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224121

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
25/01/2021,Benmore,Quarterly,Base,2023 Calendar year,95.9875
25/01/2021,Benmore,Quarterly,Base,2024 Calendar year,91.6250
25/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,115.6625
25/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,111.0667
25/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,107.9188
25/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,105.0350
26/01/2021,Benmore,N/A,N/A,Simple daily average spot price,185.3360
26/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,112.8439
26/01/2021,Benmore,Quarterly,Base,All maturities,109.0281
26/01/2021,Benmore,Quarterly,Base,Long-dated,99.4333
26/01/2021,Benmore,Quarterly,Base,Short-dated,137.8125
26/01/2021,Benmore,Quarterly,Base,2022 Calendar year,106.5000
26/01/2021,Benmore,Quarterly,Base,2023 Calendar year,99.5750
26/01/2021,Benmore,Quarterly,Base,2024 Calendar year,92.2250
26/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,119.3875
26/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,114.2500
26/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,111.3750
26/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,108.3800
27/01/2021,Benmore,N/A,N/A,Simple daily average spot price,221.7113
27/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,128.3583
27/01/2021,Benmore,Quarterly,Base,All maturities,113.2625
27/01/2021,Benmore,Quarterly,Base,Long-dated,103.1250
27/01/2021,Benmore,Quarterly,Base,Short-dated,143.6750
27/01/2021,Benmore,Quarterly,Base,2022 Calendar year,110.7500
27/01/2021,Benmore,Quarterly,Base,2023 Calendar year,102.5125
27/01/2021,Benmore,Quarterly,Base,2024 Calendar year,96.1125
27/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,123.5750
27/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,118.7000
27/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,115.3313
27/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,112.2250
28/01/2021,Benmore,N/A,N/A,Simple daily average spot price,163.9910
28/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,137.7518
28/01/2021,Benmore,Quarterly,Base,All maturities,115.1938
28/01/2021,Benmore,Quarterly,Base,Long-dated,104.6000
28/01/2021,Benmore,Quarterly,Base,Short-dated,146.9750
28/01/2021,Benmore,Quarterly,Base,2022 Calendar year,112.2250
28/01/2021,Benmore,Quarterly,Base,2023 Calendar year,103.5375
28/01/2021,Benmore,Quarterly,Base,2024 Calendar year,98.0375
28/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,125.8500
28/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,121.0917
28/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,117.4313
28/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,114.0700
29/01/2021,Benmore,N/A,N/A,Simple daily average spot price,148.9054
29/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,142.2667
29/01/2021,Benmore,Quarterly,Base,All maturities,115.7813
29/01/2021,Benmore,Quarterly,Base,Long-dated,105.3833
29/01/2021,Benmore,Quarterly,Base,Short-dated,146.9750
29/01/2021,Benmore,Quarterly,Base,2022 Calendar year,112.3375
29/01/2021,Benmore,Quarterly,Base,2023 Calendar year,104.7375
29/01/2021,Benmore,Quarterly,Base,2024 Calendar year,99.0750
29/01/2021,Benmore,Quarterly,Base,12 months from 01/04/2025,125.9625
29/01/2021,Benmore,Quarterly,Base,18 months from 01/04/2025,121.1667
29/01/2021,Benmore,Quarterly,Base,24 months from 01/04/2025,117.6188
29/01/2021,Benmore,Quarterly,Base,30 months from 01/04/2025,114.5950
30/01/2021,Benmore,N/A,N/A,Simple daily average spot price,203.3410
30/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,154.5990
