Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224118

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Base
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
25/01/2021,Otahuhu,Quarterly,Base,Short-dated,145.8875
25/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,121.7375
25/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,113.4375
25/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,109.8000
25/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,131.5750
25/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,128.0167
25/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,124.4188
25/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,122.1850
26/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,193.9956
26/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,115.8500
26/01/2021,Otahuhu,Quarterly,Base,All maturities,125.1531
26/01/2021,Otahuhu,Quarterly,Base,Long-dated,116.9250
26/01/2021,Otahuhu,Quarterly,Base,Short-dated,149.8375
26/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,124.5250
26/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,116.2625
26/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,109.9875
26/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,134.9500
26/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,130.9833
26/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,127.6750
26/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,125.0950
27/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,236.5579
27/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,132.9691
27/01/2021,Otahuhu,Quarterly,Base,All maturities,129.8625
27/01/2021,Otahuhu,Quarterly,Base,Long-dated,121.0292
27/01/2021,Otahuhu,Quarterly,Base,Short-dated,156.3625
27/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,128.5875
27/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,120.9250
27/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,113.5750
27/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,141.0000
27/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,135.7250
27/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,132.7500
27/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,129.8050
28/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,171.4221
28/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,142.8083
28/01/2021,Otahuhu,Quarterly,Base,All maturities,131.1906
28/01/2021,Otahuhu,Quarterly,Base,Long-dated,121.9500
28/01/2021,Otahuhu,Quarterly,Base,Short-dated,158.9125
28/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,129.4125
28/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,121.8125
28/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,114.6250
28/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,142.8875
28/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,137.3500
28/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,134.1688
28/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,131.1350
29/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,155.2073
29/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,147.9930
29/01/2021,Otahuhu,Quarterly,Base,All maturities,131.3531
29/01/2021,Otahuhu,Quarterly,Base,Long-dated,122.1667
29/01/2021,Otahuhu,Quarterly,Base,Short-dated,158.9125
29/01/2021,Otahuhu,Quarterly,Base,2022 Calendar year,129.4125
29/01/2021,Otahuhu,Quarterly,Base,2023 Calendar year,121.8125
29/01/2021,Otahuhu,Quarterly,Base,2024 Calendar year,115.2750
29/01/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,142.8875
29/01/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,137.3500
29/01/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,134.1688
29/01/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,131.1350
30/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,189.6542
30/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,158.3848
31/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,158.7142
31/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,165.9126
01/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,143.5813
01/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,171.3081
01/02/2021,Otahuhu,Quarterly,Base,All maturities,131.3531
01/02/2021,Otahuhu,Quarterly,Base,Long-dated,122.1667
01/02/2021,Otahuhu,Quarterly,Base,Short-dated,158.9125
01/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,129.4125
01/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,121.8125
01/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,115.2750
01/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,142.8875
01/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,137.3500
01/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,134.1688
01/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,131.1350
02/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,166.7740
02/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,176.9883
02/02/2021,Otahuhu,Quarterly,Base,All maturities,134.7969
02/02/2021,Otahuhu,Quarterly,Base,Long-dated,124.9208
02/02/2021,Otahuhu,Quarterly,Base,Short-dated,164.4250
02/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,132.3375
02/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,125.2000
02/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,117.2250
02/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,146.2000
02/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,140.8917
02/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,137.3625
02/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,134.6150
03/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,261.7808
03/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,185.4615
03/02/2021,Otahuhu,Quarterly,Base,All maturities,136.8031
03/02/2021,Otahuhu,Quarterly,Base,Long-dated,126.8875
03/02/2021,Otahuhu,Quarterly,Base,Short-dated,166.5500
03/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,133.4750
03/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,128.0500
03/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,119.1375
03/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,146.2000
03/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,141.6500
03/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,138.8563
03/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,136.2100
04/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,307.8913
04/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,194.3782
04/02/2021,Otahuhu,Quarterly,Base,All maturities,138.8063
04/02/2021,Otahuhu,Quarterly,Base,Long-dated,127.7167
04/02/2021,Otahuhu,Quarterly,Base,Short-dated,172.0750
04/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,134.4125
04/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,129.1750
04/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,119.5625
04/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,148.2500
04/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,143.3583
04/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,140.3125
04/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,137.6850
05/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,295.7681
05/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,209.9214
05/02/2021,Otahuhu,Quarterly,Base,All maturities,141.2563
05/02/2021,Otahuhu,Quarterly,Base,Long-dated,128.9333
05/02/2021,Otahuhu,Quarterly,Base,Short-dated,178.2250
05/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,136.0000
05/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,130.7250
05/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,120.0750
05/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,150.9375
05/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,145.4833
05/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,142.3250
05/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,139.5800
06/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,169.1369
06/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,211.6626
07/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,207.5421
07/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,213.8986
08/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,243.7923
08/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,224.5334
08/02/2021,Otahuhu,Quarterly,Base,All maturities,141.2563
08/02/2021,Otahuhu,Quarterly,Base,Long-dated,128.9333
08/02/2021,Otahuhu,Quarterly,Base,Short-dated,178.2250
08/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,136.0000
08/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,130.7250
08/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,120.0750
08/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,150.9375
08/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,145.4833
08/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,142.3250
08/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,139.5800
09/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,180.9321
09/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,229.2022
09/02/2021,Otahuhu,Quarterly,Base,All maturities,145.2125
09/02/2021,Otahuhu,Quarterly,Base,Long-dated,133.1667
09/02/2021,Otahuhu,Quarterly,Base,Short-dated,181.3500
09/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,138.6000
09/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,135.1250
09/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,125.7750
09/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,153.0125
09/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,147.4667
09/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,145.4813
09/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,142.5300
10/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,148.9619
10/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,226.9757
10/02/2021,Otahuhu,Quarterly,Base,All maturities,144.8906
10/02/2021,Otahuhu,Quarterly,Base,Long-dated,133.6542
10/02/2021,Otahuhu,Quarterly,Base,Short-dated,178.6000
10/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,139.9125
10/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,134.0000
10/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,127.0500
10/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,153.3250
10/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,148.3417
10/02/2021,Otahuhu,Quarterly,Base,24 months from 01/04/2025,145.5063
10/02/2021,Otahuhu,Quarterly,Base,30 months from 01/04/2025,142.6050
11/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,148.9840
11/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,212.8761
11/02/2021,Otahuhu,Quarterly,Base,All maturities,144.6750
11/02/2021,Otahuhu,Quarterly,Base,Long-dated,134.1167
11/02/2021,Otahuhu,Quarterly,Base,Short-dated,176.3500
11/02/2021,Otahuhu,Quarterly,Base,2022 Calendar year,140.2500
11/02/2021,Otahuhu,Quarterly,Base,2023 Calendar year,135.0500
11/02/2021,Otahuhu,Quarterly,Base,2024 Calendar year,127.0500
11/02/2021,Otahuhu,Quarterly,Base,12 months from 01/04/2025,153.0750
11/02/2021,Otahuhu,Quarterly,Base,18 months from 01/04/2025,148.4000
