Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224120

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Otahuhu
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
22/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
22/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
23/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,98.4921
23/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,111.8969
24/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,100.4173
24/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,103.8663
25/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,121.3319
25/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,103.8051
25/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
25/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
26/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,193.9956
26/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,115.8500
26/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
26/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
27/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,236.5579
27/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,132.9691
27/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
27/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
28/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,171.4221
28/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,142.8083
28/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
28/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
29/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,155.2073
29/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,147.9930
29/01/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
29/01/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
30/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,189.6542
30/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,158.3848
31/01/2021,Otahuhu,N/A,N/A,Simple daily average spot price,158.7142
31/01/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,165.9126
01/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,143.5813
01/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,171.3081
01/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,2022 Calendar year,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,2023 Calendar year,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,2024 Calendar year,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,12 months from 01/04/2025,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,18 months from 01/04/2025,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,24 months from 01/04/2025,63.2500
01/02/2021,Otahuhu,Quarterly,Peak,30 months from 01/04/2025,63.2500
02/02/2021,Otahuhu,N/A,N/A,Simple daily average spot price,166.7740
02/02/2021,Otahuhu,N/A,N/A,7-day simple moving average spot price,176.9883
02/02/2021,Otahuhu,Quarterly,Peak,All maturities,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,Long-dated,63.2500
02/02/2021,Otahuhu,Quarterly,Peak,Short-dated,63.2500
