Forward price curves

From www.emi.ea.govt.nz provided by the Electricity Authority (New Zealand)
Run at: 20260620224123

Parameters
Date range,01 Jan 2021 - 31 Dec 2024
Instrument,Futures
Location,Benmore
Commodity type,Peak
Duration,Quarterly

Settlement Date,Location,Duration,Commodity type,Series,Price ($/MWh)
21/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,145.7745
21/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
21/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
21/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
21/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
21/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
21/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
21/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
21/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
21/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
21/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
22/01/2021,Benmore,N/A,N/A,Simple daily average spot price,104.6829
22/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,133.0407
22/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
22/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
22/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
22/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
22/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
22/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
22/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
22/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
22/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
22/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
23/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.5538
23/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,111.6885
24/01/2021,Benmore,N/A,N/A,Simple daily average spot price,97.7223
24/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,102.5955
25/01/2021,Benmore,N/A,N/A,Simple daily average spot price,118.2310
25/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,101.8856
25/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
25/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
25/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
25/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
25/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
25/01/2021,Benmore,Quarterly,Peak,2024 Calendar year,54.8500
25/01/2021,Benmore,Quarterly,Peak,12 months from 01/04/2025,98.4000
25/01/2021,Benmore,Quarterly,Peak,18 months from 01/04/2025,96.7667
25/01/2021,Benmore,Quarterly,Peak,24 months from 01/04/2025,86.2875
25/01/2021,Benmore,Quarterly,Peak,30 months from 01/04/2025,80.0000
26/01/2021,Benmore,N/A,N/A,Simple daily average spot price,185.3360
26/01/2021,Benmore,N/A,N/A,7-day simple moving average spot price,112.8439
26/01/2021,Benmore,Quarterly,Peak,All maturities,79.9875
26/01/2021,Benmore,Quarterly,Peak,Long-dated,67.5500
26/01/2021,Benmore,Quarterly,Peak,Short-dated,117.3000
26/01/2021,Benmore,Quarterly,Peak,2022 Calendar year,92.9500
26/01/2021,Benmore,Quarterly,Peak,2023 Calendar year,54.8500
