STATION,NODE,YEAR,WEEK,PEAK,SHOULDER,OFFPEAK
Glenbrook_cogen,NI,2013,47,66.376,69.199,74.785
Glenbrook_cogen,NI,2013,48,44.226,53.166,59.233
Glenbrook_cogen,NI,2013,49,76.703,76.347,77.974
Glenbrook_cogen,NI,2013,50,72.236,72.797,77.608
Glenbrook_cogen,NI,2013,51,75.293,69.147,75.096
Glenbrook_cogen,NI,2013,52,71.565,72.266,74.716
Glenbrook_cogen,NI,2014,1,80.893,78.876,81.439
Glenbrook_cogen,NI,2014,2,71.181,59.375,63.467
Glenbrook_cogen,NI,2014,3,72.256,68.208,67.888
Glenbrook_cogen,NI,2014,4,61.697,64.576,67.41
Glenbrook_cogen,NI,2014,5,63.389,64.878,72.307
Glenbrook_cogen,NI,2014,6,69.234,72.886,72.314
Glenbrook_cogen,NI,2014,7,78.937,70.448,68.254
Glenbrook_cogen,NI,2014,8,65.638,73.052,75.062
Glenbrook_cogen,NI,2014,9,54.825,59.409,77.14
Glenbrook_cogen,NI,2014,10,46.067,54.26,62.598
Glenbrook_cogen,NI,2014,11,82.716,80.409,75.818
Glenbrook_cogen,NI,2014,12,79.202,83.744,79.15
Glenbrook_cogen,NI,2014,13,77.446,78.552,81.549
Glenbrook_cogen,NI,2014,14,75.58,76.577,74.692
Glenbrook_cogen,NI,2014,15,67.908,69.161,70.268
Glenbrook_cogen,NI,2014,16,43.935,60.387,66.404
Glenbrook_cogen,NI,2014,17,48.366,61.067,64.106
Glenbrook_cogen,NI,2014,18,40.505,47.624,49.519
Glenbrook_cogen,NI,2014,19,54.841,54.275,54.697
Glenbrook_cogen,NI,2014,20,48.098,43.821,46.587
Glenbrook_cogen,NI,2014,21,39.379,38.77,39.647
Glenbrook_cogen,NI,2014,22,60.866,63.409,66.295
Glenbrook_cogen,NI,2014,23,62.935,62.276,64.567
Glenbrook_cogen,NI,2014,24,63.467,62.709,66.559
Glenbrook_cogen,NI,2014,25,74.372,71.651,74.87
Glenbrook_cogen,NI,2014,26,71.633,69.003,72.941
Glenbrook_cogen,NI,2014,27,69.989,67.231,70.888
Glenbrook_cogen,NI,2014,28,50.992,47.441,57.641
Glenbrook_cogen,NI,2014,29,76.599,72.739,67.227
Glenbrook_cogen,NI,2014,30,76.445,72.572,73.954
Glenbrook_cogen,NI,2014,31,69.237,69.066,73.503
Glenbrook_cogen,NI,2014,32,72.322,69.962,70.946
