% Historical weekly inflow sequences [cumecs].

CATCHMENT,,Lake_Arapuni,Lake_Aratiatia,Lake_Atiamuri,Lake_Aviemore,Lake_Benmore,Lake_Dunstan,Lake_Cobb,Lake_Coleridge,Lake_Hawea,Lake_Karapiro,Lakes_Manapouri_Te_Anau,Mangahao_head,Lake_Maraetai,Lake_Matahina,Lake_Pukaki,Lake_Tekapo,Lake_Ohakuri,Lake_Ohau,Lake_Moawhango,Lake_Roxburgh,Lake_Taupo,Lake_Rotoaira,Lake_Waikaremoana,Lake_Waipapa,Lake_Waitaki,Lake_Wanaka,Lake_Whakamaru
INFLOW_REGION,,NI,NI,NI,SI,SI,SI,SI,SI,SI,NI,SI,NI,NI,NI,SI,SI,NI,SI,NI,SI,NI,NI,NI,NI,SI,SI,NI
YEAR,WEEK
1932,36,4.037857,2.043714,5.059714,1.058429,12.750429,119.540714,7.127286,21.144143,40.782429,13.696,496.516571,10.471,10.894286,61.35875,28.869714,49.503714,24.524,23.967857,30.807111,4.079429,128.950714,43.918429,11.513286,4.202714,2.511857,119.498714,8.306429
1932,37,4.393714,2.223857,5.505714,1.185429,14.285,160.90925,6.477571,18.243571,33.044286,14.903286,516.785571,2.059286,11.854286,53.723667,31.218,15.826857,26.685857,26.851286,23.62525,5.503429,93.49025,30.97775,7.616571,4.573286,2.814286,103.855286,9.038714
1932,38,4.764571,2.411429,5.970286,1.211,14.593,164.449571,6.350286,17.675143,33.471429,16.161,282.493857,3.097571,12.855143,61.694,31.501,48.105571,28.938143,27.43,31.1035,5.612143,131.109,44.567,20.534,4.959,2.875,102.569571,9.801571
1932,39,4.650143,2.353571,5.827143,1.211,14.593,134.761125,5.442714,13.623571,25.582714,15.772714,170.589,8.691286,12.546,69.6645,31.438,25.778286,28.242571,27.43,38.371917,4.60975,174.4279,60.913,20.386571,4.839857,2.875,101.105857,9.566143
1932,40,4.827,2.443,6.048571,1.211,14.593,147.616714,6.450571,18.124,33.674286,16.372143,396.028429,6.092571,13.022714,61.694,31.371,25.059429,29.316143,27.43,31.1035,5.037571,131.109,44.567,26.304857,5.024,2.875,103.737857,9.929714
1932,41,4.617714,2.337143,5.786143,5.210429,62.777857,128.326286,9.204,30.415286,131.352143,15.662143,730.352635,10.454,12.458143,67.9448,134.680143,85.980857,28.045143,118.003143,35.547091,4.379143,150.468625,59.00825,12.517143,4.806143,12.367429,254.836143,9.499143
1932,42,4.331143,2.192143,5.427286,3.592,43.278,163.792143,11.662571,41.392,67.211571,14.690714,341.541587,9.492571,11.685286,71.562462,93.491429,71.630857,26.305286,81.35,41.907273,5.589857,195.5752,57.955818,11.381143,4.507857,8.526,280.087857,8.91
1932,43,5.242714,2.653571,6.569429,2.522571,30.392286,193.4905,14.437571,53.779143,63.062286,17.783,204.200768,10.180286,14.145143,77.071643,66.962571,78.604429,31.842286,57.128714,49.266,6.567,215.2814,75.283714,16.642429,5.456714,5.987429,240.060143,10.785429
1932,44,5.225286,2.644571,6.547286,2.928,35.277,200.358375,13.782857,50.856,57.405143,17.722571,339.761,8.581143,14.097143,71.182231,79.179,62.822857,31.734429,66.31,42.4781,6.812429,189.220182,63.696222,10.227714,5.438429,6.95,206.896143,10.748714
1932,45,4.427571,2.240857,5.548143,3.503,42.206714,203.7436,11.432857,40.364857,58.068857,15.017714,564.136952,10.198429,11.945571,64.481,104.823,73.409286,26.891286,79.335714,34.5895,6.977571,146.774,50.189,4.812429,4.608286,8.314571,198.424286,9.108286
1932,46,4.117714,2.084143,5.159571,2.821286,33.992429,194.99425,8.515,27.339143,50.089857,13.966429,323.241873,5.942143,11.109143,64.2515,103.441714,52.505714,25.008143,63.895571,34.2535,6.666571,145.2185,49.510818,4.781429,4.285857,6.696429,181.017143,8.470571
