hub,woy,daytype,tp,mw
BEN,2,weekend,21,202.75316666666666
BEN,2,weekend,22,201.2121666666667
BEN,2,weekend,23,204.79166666666666
BEN,2,weekend,24,199.78166666666667
BEN,2,weekend,25,197.1013333333333
BEN,2,weekend,26,192.57475
BEN,2,weekend,27,190.78625
BEN,2,weekend,28,141.74849999999998
BEN,2,weekend,29,190.09300000000002
BEN,2,weekend,30,144.91933333333333
BEN,2,weekend,31,190.6398333333333
BEN,2,weekend,32,145.44416666666666
BEN,2,weekend,33,145.69183333333334
BEN,2,weekend,34,147.25636666666668
BEN,2,weekend,35,148.345
BEN,2,weekend,36,149.46566666666666
BEN,2,weekend,37,150.14225
BEN,2,weekend,38,149.93666666666664
BEN,2,weekend,39,144.738
BEN,2,weekend,40,140.14783333333332
BEN,2,weekend,41,140.60075
BEN,2,weekend,42,140.88616666666667
BEN,2,weekend,43,142.07433333333333
BEN,2,weekend,44,142.52
BEN,2,weekend,45,141.56653333333335
BEN,2,weekend,46,136.14383333333336
BEN,2,weekend,47,173.0503333333333
BEN,2,weekend,48,125.65849999999999
BEN,3,weekday,1,151.02458333333334
BEN,3,weekday,2,144.21185000000003
BEN,3,weekday,3,135.59570833333333
BEN,3,weekday,4,115.58184166666666
BEN,3,weekday,5,95.51804166666668
BEN,3,weekday,6,94.58279166666665
BEN,3,weekday,7,127.80870833333333
BEN,3,weekday,8,94.57795833333333
BEN,3,weekday,9,114.15181666666666
BEN,3,weekday,10,119.70341666666667
BEN,3,weekday,11,131.36961666666667
BEN,3,weekday,12,139.273675
BEN,3,weekday,13,152.71633333333332
BEN,3,weekday,14,163.87891666666667
BEN,3,weekday,15,178.91656666666665
BEN,3,weekday,16,190.78666666666666
BEN,3,weekday,17,196.55641666666668
BEN,3,weekday,18,228.3425
BEN,3,weekday,19,196.20458333333335
BEN,3,weekday,20,164.04725000000002
BEN,3,weekday,21,186.92620833333334
BEN,3,weekday,22,184.10612500000002
BEN,3,weekday,23,185.60245833333335
BEN,3,weekday,24,182.36408333333333
BEN,3,weekday,25,182.01591666666667
BEN,3,weekday,26,175.0643333333333
BEN,3,weekday,27,152.56990000000002
BEN,3,weekday,28,176.47424999999998
BEN,3,weekday,29,178.71460000000002
BEN,3,weekday,30,178.35733333333332
BEN,3,weekday,31,153.44633333333334
BEN,3,weekday,32,152.4695
BEN,3,weekday,33,180.77991666666668
BEN,3,weekday,34,149.49984999999998
BEN,3,weekday,35,148.40888333333334
BEN,3,weekday,36,173.8713666666667
BEN,3,weekday,37,173.94765833333332
BEN,3,weekday,38,149.60258333333337
BEN,3,weekday,39,145.43316666666666
BEN,3,weekday,40,143.03375
BEN,3,weekday,41,167.66766666666666
BEN,3,weekday,42,137.66316666666665
BEN,3,weekday,43,165.93365
BEN,3,weekday,44,159.41305
BEN,3,weekday,45,159.00441666666669
BEN,3,weekday,46,125.60746666666667
BEN,3,weekday,47,147.79179166666665
BEN,3,weekday,48,140.2699166666667
BEN,4,weekday,1,142.50025
BEN,4,weekday,2,155.42279166666665
BEN,4,weekday,3,133.00196666666668
BEN,4,weekday,4,130.8495
BEN,4,weekday,5,126.20708333333334
BEN,4,weekday,6,108.73845833333333
BEN,4,weekday,7,111.35334999999999
BEN,4,weekday,8,112.55691666666667
BEN,4,weekday,9,115.58556666666667
BEN,4,weekday,10,119.56658333333333
BEN,4,weekday,11,126.9386
BEN,4,weekday,12,150.32704166666667
BEN,4,weekday,13,140.75
BEN,4,weekday,14,147.67345833333334
BEN,4,weekday,15,159.12420833333334
BEN,4,weekday,16,192.3752166666667
BEN,4,weekday,17,195.6037
BEN,4,weekday,18,167.49099999999999
BEN,4,weekday,19,169.46954166666666
BEN,4,weekday,20,171.0815
BEN,4,weekday,21,168.9574166666667
BEN,4,weekday,22,196.12545
BEN,4,weekday,23,170.09794999999997
BEN,4,weekday,24,170.62545
BEN,4,weekday,25,196.63741666666664
BEN,4,weekday,26,201.74841666666666
BEN,4,weekday,27,166.35423333333335
BEN,4,weekday,28,166.95058333333333
BEN,4,weekday,29,167.64283333333333
BEN,4,weekday,30,190.83429999999998
BEN,4,weekday,31,172.02118333333334
BEN,4,weekday,32,171.9295416666667
BEN,4,weekday,33,170.90516666666667
BEN,4,weekday,34,172.3337666666667
BEN,4,weekday,35,172.53841666666665
BEN,4,weekday,36,172.75912499999998
BEN,4,weekday,37,172.10258333333337
BEN,4,weekday,38,204.17829166666667
BEN,4,weekday,39,167.53666666666666
BEN,4,weekday,40,163.74716666666666
BEN,4,weekday,41,165.47150000000002
BEN,4,weekday,42,193.31485000000004
BEN,4,weekday,43,167.0554166666667
BEN,4,weekday,44,165.46558333333337
BEN,4,weekday,45,153.79991666666666
BEN,4,weekday,46,146.80894166666667
BEN,4,weekday,47,146.96358333333336
BEN,4,weekday,48,162.80633333333333
BEN,4,weekend,1,145.47516666666667
BEN,4,weekend,2,179.4846666666667
BEN,4,weekend,3,175.26733333333334
BEN,4,weekend,4,167.86066666666667
BEN,4,weekend,5,164.94983333333332
BEN,4,weekend,6,163.0306666666667
BEN,4,weekend,7,163.4900166666667
BEN,4,weekend,8,128.53033333333332
BEN,4,weekend,9,158.91066666666666
BEN,4,weekend,10,123.281
BEN,4,weekend,11,138.74666666666667
BEN,4,weekend,12,140.62433333333334
BEN,4,weekend,13,141.71625
BEN,4,weekend,14,146.49991666666668
BEN,4,weekend,15,153.62683333333334
BEN,4,weekend,16,159.4068333333333
BEN,4,weekend,17,165.7031666666667
BEN,4,weekend,18,218.67183333333335
BEN,4,weekend,19,173.45149999999998
