reservoir,storage_gwh,water_value,week
Lake_Hawea,255.2694411458333,163.0225140411844,2
Lake_Hawea,291.73650416666663,163.0225140411844,2
Lake_Ohau,0.0,112.68912642980739,2
Lake_Ohau,2.753272847222222,112.68912642980739,2
Lake_Ohau,5.506545694444444,112.68912642980739,2
Lake_Ohau,8.259818541666666,112.68912642980739,2
Lake_Ohau,11.013091388888888,112.68912642980739,2
Lake_Ohau,13.76636423611111,112.68912642980739,2
Lake_Ohau,16.519637083333333,112.68912642980739,2
Lake_Ohau,19.272909930555556,112.68912642980739,2
Lake_Ohau,22.026182777777777,112.68912642980739,2
Lake_Pukaki,0.0,153.40786645004363,2
Lake_Pukaki,222.73020703819446,153.40786645004363,2
Lake_Pukaki,445.46041407638893,153.40786645004363,2
Lake_Pukaki,668.1906211145833,119.46556439774923,2
Lake_Pukaki,890.9208281527779,119.46556439774923,2
Lake_Pukaki,1113.6510351909724,119.46556439774923,2
Lake_Pukaki,1336.3812422291667,119.46556439774923,2
Lake_Pukaki,1559.1114492673612,119.46556439774923,2
Lake_Pukaki,1781.8416563055557,119.46556439774923,2
Lake_Taupo,0.0,179.69959393291217,2
Lake_Taupo,73.39213194444446,179.69959393291217,2
Lake_Taupo,146.78426388888892,179.69959393291217,2
Lake_Taupo,220.17639583333337,179.69959393291217,2
Lake_Taupo,293.56852777777783,179.69959393291217,2
Lake_Taupo,366.9606597222223,179.69959393291217,2
Lake_Taupo,440.35279166666675,179.69959393291217,2
Lake_Taupo,513.7449236111112,179.69959393291217,2
Lake_Taupo,587.1370555555557,179.69959393291217,2
Lake_Tekapo,0.0,148.91073064284046,2
Lake_Tekapo,90.92506666666665,148.91073064284046,2
Lake_Tekapo,181.8501333333333,148.91073064284046,2
Lake_Tekapo,272.7751999999999,125.72099308821555,2
Lake_Tekapo,363.7002666666666,89.61230768561997,2
Lake_Tekapo,454.6253333333333,89.61230768561997,2
Lake_Tekapo,545.5503999999999,89.61230768561997,2
Lake_Tekapo,636.4754666666665,89.61230768561997,2
Lake_Tekapo,727.4005333333332,89.61230768561997,2
Lake_Waikaremoana,0.0,1846.21846153063,2
Lake_Waikaremoana,19.28293402777778,1846.21846153063,2
Lake_Waikaremoana,38.56586805555556,1846.21846153063,2
Lake_Waikaremoana,57.84880208333334,1846.21846153063,2
Lake_Waikaremoana,77.13173611111112,1846.21846153063,2
Lake_Waikaremoana,96.41467013888891,1846.21846153063,2
